,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,46.666666666666664,40.0,6.666666666666667,5.0,6.666666666666667,10.0,5.0,5.0,0.0,10.0,50.0,83.33333333333334,6.666666666666667,5.0,8.333333333333332,6.666666666666667,3.3333333333333335,5.0,0.0,10.0
A Tale of Two Cities,18.0,7.000000000000001,2.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,9.0,6.0,1.0,8.0,1.0,1.0,0.0,1.0,0.0,3.0
A thousand splendid suns,4.25531914893617,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,54.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0
Adventures of Sherlock Holmes,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Alice in Wonderland,86.95652173913044,23.91304347826087,19.565217391304348,8.695652173913043,23.91304347826087,34.78260869565217,6.521739130434782,21.73913043478261,0.0,15.217391304347828,84.78260869565217,23.91304347826087,17.391304347826086,21.73913043478261,23.91304347826087,26.08695652173913,10.869565217391305,13.043478260869565,0.0,17.391304347826086
Dracula,28.888888888888886,20.0,6.666666666666667,1.1111111111111112,4.444444444444445,3.3333333333333335,1.1111111111111112,1.1111111111111112,0.0,1.1111111111111112,21.11111111111111,6.666666666666667,6.666666666666667,5.555555555555555,5.555555555555555,3.3333333333333335,1.1111111111111112,1.1111111111111112,0.0,2.2222222222222223
Dune,44.0,26.0,7.000000000000001,22.0,19.0,20.0,10.0,16.0,0.0,18.0,31.0,22.0,16.0,16.0,18.0,21.0,10.0,17.0,0.0,17.0
Fahrenheit 451,6.666666666666667,30.0,6.666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.0,0.0,1.6666666666666667,23.333333333333332,11.666666666666666,0.0,1.6666666666666667,1.6666666666666667,3.3333333333333335,1.6666666666666667,0.0,0.0
Frankenstein,60.78431372549019,9.803921568627452,0.0,1.9607843137254901,0.0,0.0,0.0,1.9607843137254901,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry Potter and the Deathly Hallows,5.0,4.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
Of Mice and Men,31.25,4.166666666666666,0.0,0.0,0.0,2.083333333333333,0.0,0.0,0.0,0.0,6.25,2.083333333333333,2.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper Towns,5.263157894736842,0.0,0.0,1.3157894736842104,0.0,0.0,0.0,0.0,0.0,0.0,1.3157894736842104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percy Jackson The Lightning Thief,3.0927835051546393,0.0,0.0,0.0,0.0,2.0618556701030926,0.0,0.0,0.0,0.0,1.0309278350515463,0.0,0.0,0.0,0.0,1.0309278350515463,0.0,0.0,0.0,0.0
Pride and Prejudice,62.0,32.0,7.000000000000001,9.0,6.0,5.0,4.0,2.0,0.0,0.0,86.0,28.000000000000004,13.0,8.0,5.0,6.0,4.0,1.0,0.0,4.0
Sense and sensibility,10.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,5.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
The Boy in the Striped Pyjamas,6.185567010309279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0309278350515463,0.0,0.0,1.0309278350515463,0.0,0.0,0.0,0.0
The Great Gatsby,53.70370370370371,29.629629629629626,3.7037037037037033,11.11111111111111,18.51851851851852,7.4074074074074066,11.11111111111111,7.4074074074074066,0.0,5.555555555555555,38.88888888888889,29.629629629629626,9.25925925925926,37.03703703703704,11.11111111111111,7.4074074074074066,11.11111111111111,7.4074074074074066,0.0,0.0
The Handmaid s Tale,20.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Picture of Dorian Gray,49.31506849315068,19.17808219178082,2.73972602739726,0.0,1.36986301369863,2.73972602739726,0.0,0.0,0.0,0.0,13.698630136986301,16.43835616438356,19.17808219178082,1.36986301369863,5.47945205479452,1.36986301369863,0.0,0.0,0.0,0.0
