Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
['montag'],phoenix,0,0.31,incorrect,ngoanana,0,0.43,incorrect,persephone,0,0.25,incorrect,apollo,0,0.17,incorrect,modumo,0,0.33,incorrect,leboga,0,0.33,incorrect,phoenix,0,0.31,incorrect,tere,0,0.2,incorrect,phoenix,0,0.31,incorrect,phoenix,0,0.31,incorrect,mercury,0,0.15,incorrect,jesus,0,0.0,incorrect,ngoanana,0,0.43,incorrect,apollo,0,0.17,incorrect,leboga,0,0.33,incorrect,tere,0,0.2,incorrect,phoenix,0,0.31,incorrect,jesus,0,0.0,incorrect,the boy,0,0.15,incorrect,azrael,0,0.17,incorrect,adam,0,0.2,incorrect,kus,0,0.0,incorrect,dau rao,0,0.15,incorrect,phuong,0,0.5,incorrect,adam,0,0.2,incorrect,semenderle,0,0.25,incorrect,azrael,0,0.17,incorrect,kus,0,0.0,incorrect,phuong,0,0.5,incorrect,semenderle,0,0.25,incorrect
['montag'],lesli,0,0.0,incorrect,lesli,0,0.0,incorrect,yoruba,0,0.33,incorrect,yoruba,0,0.33,incorrect,he,0,0.0,incorrect,he,0,0.0,incorrect,jesus,0,0.0,incorrect,samoa,0,0.55,incorrect,alaadiin,0,0.14,incorrect,miilk,0,0.18,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,lesli,0,0.0,incorrect,yoruba,0,0.33,incorrect,he,0,0.0,incorrect,samoa,0,0.55,incorrect,miilk,0,0.18,incorrect,jesus,0,0.0,incorrect,jack,0,0.2,incorrect,jack,0,0.2,incorrect,ibrahim,0,0.15,incorrect,ibrahim,0,0.15,incorrect,ngoi sao,0,0.29,incorrect,nguyen van long,0,0.29,incorrect,ev,0,0.0,incorrect,ibrahim,0,0.15,incorrect,jack,0,0.2,incorrect,ibrahim,0,0.15,incorrect,nguyen van long,0,0.29,incorrect,ibrahim,0,0.15,incorrect
['montag'],sheba,0,0.18,incorrect,david,0,0.18,incorrect,oju,0,0.22,incorrect,oju,0,0.22,incorrect,sheba,0,0.18,incorrect,south africa,0,0.33,incorrect,jesus,0,0.0,incorrect,france,0,0.17,incorrect,ram,0,0.22,incorrect,ram,0,0.22,incorrect,maria,0,0.36,incorrect,madagascar,0,0.38,incorrect,david,0,0.18,incorrect,oju,0,0.22,incorrect,south africa,0,0.33,incorrect,france,0,0.17,incorrect,ram,0,0.22,incorrect,madagascar,0,0.38,incorrect,he,0,0.0,incorrect,emma,0,0.4,incorrect,adam,0,0.2,incorrect,ali,0,0.22,incorrect,nguoi dan ba,0,0.33,incorrect,nguyen du,0,0.27,incorrect,adam,0,0.2,incorrect,kadin,0,0.18,incorrect,emma,0,0.4,incorrect,ali,0,0.22,incorrect,nguyen du,0,0.27,incorrect,kadin,0,0.18,incorrect
['montag'],david,0,0.18,incorrect,jesus,0,0.0,incorrect,ola,0,0.44,incorrect,nipa,0,0.4,incorrect,moeketsi,0,0.43,incorrect,jesus,0,0.0,incorrect,samoa,0,0.55,incorrect,samoa,0,0.55,incorrect,john,0,0.4,incorrect,ram,0,0.22,incorrect,madagascar,0,0.38,incorrect,madagascar,0,0.38,incorrect,jesus,0,0.0,incorrect,nipa,0,0.4,incorrect,jesus,0,0.0,incorrect,samoa,0,0.55,incorrect,ram,0,0.22,incorrect,madagascar,0,0.38,incorrect,john,0,0.4,incorrect,jack,0,0.2,incorrect,adam,0,0.2,incorrect,ben,0,0.22,incorrect,dam chay,0,0.29,incorrect,nguyen du,0,0.27,incorrect,adam,0,0.2,incorrect,kitabi,0,0.33,incorrect,jack,0,0.2,incorrect,ben,0,0.22,incorrect,nguyen du,0,0.27,incorrect,kitabi,0,0.33,incorrect
['montag'],joseph,0,0.17,incorrect,empa,0,0.4,incorrect,jesus,0,0.0,incorrect,oyin,0,0.4,incorrect,leina la gagwe,0,0.3,incorrect,leina,0,0.36,incorrect,jesus,0,0.0,incorrect,god,0,0.22,incorrect,ram,0,0.22,incorrect,shakespeare,0,0.12,incorrect,madagascar,0,0.38,incorrect,jesus,0,0.0,incorrect,empa,0,0.4,incorrect,oyin,0,0.4,incorrect,leina,0,0.36,incorrect,god,0,0.22,incorrect,shakespeare,0,0.12,incorrect,jesus,0,0.0,incorrect,he,0,0.0,incorrect,central,0,0.46,incorrect,adi,0,0.22,incorrect,adam,0,0.2,incorrect,ong gia,0,0.46,incorrect,dong,0,0.6,incorrect,adi,0,0.22,incorrect,adam,0,0.2,incorrect,central,0,0.46,incorrect,adam,0,0.2,incorrect,dong,0,0.6,incorrect,adam,0,0.2,incorrect
['montag'],jesus,0,0.0,incorrect,sehloho,0,0.15,incorrect,ola rotimi,0,0.25,incorrect,ososo,0,0.18,incorrect,shakespeare,0,0.12,incorrect,sebego,0,0.17,incorrect,hawaii,0,0.17,incorrect,maori,0,0.36,incorrect,guljaarii laal,0,0.1,incorrect,ram,0,0.22,incorrect,madagascar,0,0.38,incorrect,madagascar,0,0.38,incorrect,sehloho,0,0.15,incorrect,ososo,0,0.18,incorrect,sebego,0,0.17,incorrect,maori,0,0.36,incorrect,ram,0,0.22,incorrect,madagascar,0,0.38,incorrect,jack,0,0.2,incorrect,firehouse,0,0.13,incorrect,ali,0,0.22,incorrect,ataturk,0,0.31,incorrect,tram phong hoa,0,0.4,incorrect,napoleon,0,0.29,incorrect,ali,0,0.22,incorrect,itfaiye,0,0.31,incorrect,firehouse,0,0.13,incorrect,ataturk,0,0.31,incorrect,napoleon,0,0.29,incorrect,itfaiye,0,0.31,incorrect
['montag'],jack,0,0.2,incorrect,mapolesa,0,0.43,incorrect,orisun,0,0.33,incorrect,jesus,0,0.0,incorrect,cecile jany,0,0.12,incorrect,cecile mapodisi,0,0.19,incorrect,samoa,0,0.55,incorrect,tama hey,0,0.29,incorrect,ram,0,0.22,incorrect,ram,0,0.22,incorrect,janitorialy,0,0.35,incorrect,nanadio,0,0.31,incorrect,mapolesa,0,0.43,incorrect,jesus,0,0.0,incorrect,cecile mapodisi,0,0.19,incorrect,tama hey,0,0.29,incorrect,ram,0,0.22,incorrect,nanadio,0,0.31,incorrect,woman,0,0.36,incorrect,janitorial,0,0.38,incorrect,adam,0,0.2,incorrect,polis,0,0.18,incorrect,nguoi dan ba,0,0.33,incorrect,tran tu dat,0,0.35,incorrect,adam,0,0.2,incorrect,polis,0,0.18,incorrect,janitorial,0,0.38,incorrect,polis,0,0.18,incorrect,tran tu dat,0,0.35,incorrect,polis,0,0.18,incorrect
['montag'],cricket,0,0.15,incorrect,south africa,0,0.33,incorrect,england,0,0.31,incorrect,w.g. grace,0,0.12,incorrect,god,0,0.22,incorrect,botswana,0,0.43,incorrect,maori,0,0.36,incorrect,te i,0,0.2,incorrect,virat kohli,0,0.12,incorrect,rahul,0,0.18,incorrect,cricket,0,0.15,incorrect,madagascar,0,0.38,incorrect,south africa,0,0.33,incorrect,w.g. grace,0,0.12,incorrect,botswana,0,0.43,incorrect,te i,0,0.2,incorrect,rahul,0,0.18,incorrect,madagascar,0,0.38,incorrect,woolf,0,0.18,incorrect,wilde,0,0.0,incorrect,meryem,0,0.17,incorrect,adem,0,0.2,incorrect,nghen,0,0.36,incorrect,nguyen du,0,0.27,incorrect,mary,0,0.4,incorrect,adem,0,0.2,incorrect,wilde,0,0.0,incorrect,adem,0,0.2,incorrect,nguyen du,0,0.27,incorrect,adem,0,0.2,incorrect
['montag'],lee min ho,0,0.25,incorrect,david,0,0.18,incorrect,innocent,0,0.43,incorrect,olorun,0,0.33,incorrect,jesus,0,0.0,incorrect,look,0,0.2,incorrect,jesus,0,0.0,incorrect,aita,0,0.4,incorrect,ram,0,0.22,incorrect,ram,0,0.22,incorrect,madagascar,0,0.38,incorrect,jereo,0,0.18,incorrect,david,0,0.18,incorrect,olorun,0,0.33,incorrect,look,0,0.2,incorrect,aita,0,0.4,incorrect,ram,0,0.22,incorrect,jereo,0,0.18,incorrect,roger ackroyd,0,0.21,incorrect,harry,0,0.18,incorrect,hirsizlik,0,0.0,incorrect,ali,0,0.22,incorrect,nghe,0,0.4,incorrect,nguyen du,0,0.27,incorrect,hirsizlik,0,0.0,incorrect,sihirbaz,0,0.14,incorrect,harry,0,0.18,incorrect,ali,0,0.22,incorrect,nguyen du,0,0.27,incorrect,sihirbaz,0,0.14,incorrect
"['beatty—', 'beatty']",moses,0,0.18,incorrect,moses,0,0.18,incorrect,noah,0,0.2,incorrect,nibo,0,0.2,incorrect,babele,0,0.33,incorrect,batho pele,0,0.38,incorrect,samoa,0,0.18,incorrect,samoa,0,0.18,incorrect,babel,0,0.36,incorrect,god,0,0.0,incorrect,noah,0,0.2,incorrect,maria,0,0.18,incorrect,moses,0,0.18,incorrect,nibo,0,0.2,incorrect,batho pele,0,0.38,incorrect,samoa,0,0.18,incorrect,god,0,0.0,incorrect,maria,0,0.18,incorrect,locke,0,0.18,incorrect,babel,0,0.36,incorrect,dante,0,0.36,incorrect,babil,0,0.36,incorrect,saruman,0,0.15,incorrect,tower of babel,0,0.2,incorrect,dante,0,0.36,incorrect,noah,0,0.2,incorrect,babel,0,0.36,incorrect,babil,0,0.36,incorrect,tower of babel,0,0.2,incorrect,noah,0,0.2,incorrect
