Author,En,Es,Tr,Vi
Charles Dickens,A Tale of Two Cities,Una historia de dos ciudades,Iki sehrin hikayesi,HAI KINH THÀNH
Mark Twain,Adventures of Huckleberry Finn,Las aventuras de Huckleberry Fin,Huckleberry Finn'in Maceralari,Cuoc Phieu Luu Cua Huckleberry Finn
George Orwell,Animal Farm,Rebelion en la granja,Hayvan Ciftligi,Trại Súc Vật
Bram Stoker,Dracula,Dracula,Dracula,Bá Tước Dracula
Gabriel Garcia Marquez,One Hundred Years of Solitude,Cien anos de soledad,Yuzyillik Yalnizlik,Trăm Năm Cô Đơn
John Green,Paper Towns,Ciudades de papel,Kagittan Kentler,Những Thành Phố Giấy
Jane Austen,Pride and Prejudice,Orgullo y prejuicio,Akil ve Tutku,Kieu Hanh va Dinh Kien
Jane Austen,Sense and sensibility,Sentido y sensibilidad,Gurur ve Onyargi,Ly Tri Va Tinh Cam
F. Scott Fitzgerald,The Great Gatsby,El gran Gatsby,Muhtesem Gatsby,Gatsby Vi Dai
Margaret Atwood,The Handmaid s Tale,El cuento de la criada,Damizlik kizin oykusu,Chuyen Nguoi Tuy Nu
Oscar Wilde,The Picture of Dorian Gray,El retrato de Dorian gray,Dorian Gray'in Portresi,Bức Tranh Dorian Gray
Mark Twain,Adventures of Tom Sawyer,Las aventuras de Tom Sawyer,Tom Sawyer'in maceralari,Những Cuộc Phiêu Lưu Của Tom Sawyer
H.G. Wells,War of The Worlds,La guerra de los mundos,Dunyalarin Savasi,Chien Tranh Giua Cac The Gioi
Robert Louis Stevenson,Strange Case of Dr. Jekyll and Mr. Hyde,El extraño caso del Dr. Jekyll y Mr. Hyde,Dr. Jekyll ile Bay Hyde,Bac si Jekyll va ong Hyde
George Orwell,1984,1984,1984,1984
H.G. Wells,Time Machine,La maquina del tiempo,Zaman Makinesi,Kẻ Vượt Thời Gian
Lewis Carroll,Alice s Adventures in Wonderland,Alicia en el país de las maravillas,Alice Harikalar Diyarinda,Alice o xu so dieu ky
Ray Bradbury,Fahrenheit 451,Fahrenheit 451,Fahrenheit 451,451 Độ Fahrenheit
Mary Shelley,Frankenstein,Frankenstein,Frankenstein,Frankenstein
John Steinback,Of Mice and Men,De ratones y hombres,Fareler ve Insanlar,Của Chuột và của Người 
John Boyne,The Boy in the Striped Pyjamas,El nino con el pijama de rayas,Cizgili Pijamali Cocuk,Chú bé mang pyjama sọc
Khaled Husseini,A thousand splendid suns,Mil Soles Esplendidos,Bin Muhtesem Gunes,Ngàn Mặt Trời Rực Rỡ 
Rick Riordian,The Lightning Thief,El ladron del rayo ,Simsek Hirsizi,Kẻ Cắp Tia Chớp 
Arthur Conan Dyle,Adventures of Sherlock Holmes,Aventuras de sherlock holmes,Sherlock Holmes'in maceralari,Sherlock Holmes Toan Tap
Frank Herbert,Dune,Dune,Dune,Xứ cát 
J.K. Rowling,Harry Potter and the Deathly Hallows,Harry Potter y las reliquias de la muerte,Harry Potter ve Olum Yadigarlari,Harry Potter va Bao Boi Tu Than 
Stephen King,You Like It Darker Stories
Christina Lauren,The Paradise Problem
Kaliane Bradyley,The Ministry of Time
Kevin Kwan,Lies and Weddings
Abby Jimenez,Just for the Summer
Laura Nowlin,If Only I Had Told Her
Emily Henry,Funny Story
Ashley Elston,First Lie Wins
Ali Hazelwood,Bride
Ali Hazelwood,Below Zero
