en_first_half,en_second_half,en_word_count,en_results_raw
"Not quite the stuff of childhood dreams. Then again, I’m no dreamer. I only ever contemplated marriage once, back in the gloomy days of my childhood. Following a few too-harsh punishments and a","poorly executed assassination attempt, Serena and I concocted plans for a grand escape, which was going to involve pyrotechnics-based diversions, stealing our math tutor’s car, and flipping off our caregivers in the rearview mirror.",67,completion>
"That was fourteen years ago, though, and Serena never married me. In fact, she’s long gone. I’m here alone, with a giant heap of","expensive wedding favors that’ll hopefully fool guests into overlooking the lack of love, genetic compatibility, or even previous acquaintance between me and the groom.",48,completion
I did try to arrange a meeting. Suggested to my people that they suggest to his people that we could grab lunch the week before the ceremony. Coffee the previous day. A glass of tap water the morning of—anything to avoid a “How do you do?” in front of the officiant. My request,"was escalated to the Vampyre council, and resulted in a phone call from one of the members’ aides. His tone managed to be polite while heavily implying that I was a cuckoo nutbird. “He’s a Were. A very powerful and dangerous Were. Just the logistics of providing security for such a meeting would be—”",107,completion
"One of the agents stops us in front of the double doors that lead into the courtyard. “Councilman Lark, Miss Lark, one minute. They’re not quite ready for you.” We","wait side by side for a handful of uncomfortable moments, then Father turns to me. In my stylist-mandated heels, I nearly reach his height, and his eyes easily catch mine.",60,completion
"“But they found a replacement,” Cal adds, sliding a manila folder on the",counter. “Everything’s in here. They want to know if she has your approval.”,26,completion>
"The first things I notice are the two walls of windows, which is exactly what Father wants. Every Human I’ve talked with assumes that Vampyres hate light and relish darkness, but they couldn’t be more wrong. The sun may be forbidden to us, toxic always and deathly in large quantities, but that’s precisely why","we covet it with such intensity. Windows are a luxury, because they need to be treated with absurdly expensive materials that filter everything that might harm us. And windows this large are the most bombastic of status symbols, in a full display of dynastic power and obscene wealth. And beyond them . . .",108,completion
"“Whose? Yours? Are you going to . . .” I don’t bother finishing the sentence—the sheer thought is ludicrous. It’s not just weddings that have gone out of fashion hundreds of years ago, but the entire idea","of long-term relationships. As it turns out, when your species sucks at producing children, encouraging sexual walkabouts and the search for reproductively compatible partners takes precedence over romance. I doubt Vampyres were ever particularly romantic, anyway. “Whose?”",74,completion
“And your take on her . . . ?” He must have one. Father’s collaboration,with Governor Davenport is the driving force behind the amicable relationship between our two people.,30,completion
"“However, I am still tasked with guaranteeing the safety of my people. And once Governor Davenport is gone, in addition to","the Were threat that we constantly face at the southern border, there might be one at the north. From the Humans.”",42,completion
"“You hold a Human child as a deterrent for ten years, with the mutual understanding that if the Humans","violate the terms of our alliance, the Vampyres will instantly murder the child. That seems crude and simplistic, too.”",38,completion>
"He nods. “A little more than a week ago, her little brother, Abel, turned fifteen. That night, he and three friends were out partying, and found themselves near the river. Emboldened","by their youth and feeble-mindedness, they challenged each other to swim across it, touch the riverbank that belongs to Were territory, and then swim back. A show of bravery, if you will.”",63,completion
“Their succession of power is not particularly sophisticated. Weres are most,"closely related to dogs, after all. Suffice to say, Roscoe is dead.”",23,"completed by a process of natural selection, where the strongest and most resilient individuals within the pack are more likely to survive and reproduce, thereby passing on their desirable traits to the next generation. This gradual evolution allows the pack to adapt to changing environments and challenges, ensuring their continued dominance in the wild. However, this process can be influenced by various factors, such as human intervention, climate change, and the presence of other predators, which can impact the pack's ability to maintain their position of power."
"“He is young, you see. Around your age and built of a different stock. As savage as Roscoe, perhaps, but",more open-minded. He believes that peace in the region is possible. That alliances among all three species should be cultivated.”,40,completion
"“The other children knew that I’d be the one sent to the Humans, and they started calling me fangless traitor as soon as they could form full sentences. Or have you forgotten when I was seven, and the sons and daughters of your fellow councilmen stole my clothes and pushed me out in the sun right before midday? And those same people spat on me and mocked me when","I returned from ten years serving as their Collateral, so I’m not—” I exhale slowly, and remind myself that this is fine. I am fine. Untouchable. I’m twenty-five and I have my fake Human IDs, my apartment, my cat (fuck you, Serena), my . . . Okay, I probably don’t have a job right now, but I’ll find another soon, with 100 percent fewer Pierces. I have friends—a friend. Probably.",139,completion>
"“They see a wedding between a Vampyre and an Alpha that was supposed to broker peace, but ended in death. The Weres are animals, and always will be, but we are on","the road to extinction, and the good of the most must be considered. If we let the Humans and Weres form an alliance that excludes us, they could completely wipe us out—”",64,completion>
"I only ever laughed out loud with Serena, which means that it must have been well over a month since I last did","it. My brain nearly hiccups, startled at these newfangled, mysterious sounds my voice box is producing. “Did you drink rotten blood? Because you’re unhinged.”",47,completion
"“Vampyres cannot.” I shoot to my feet and begin pacing away from him,",massaging my temple. “Why are you asking me? I cannot be your first choice.”,27,completion
"“You aren’t,” he says flatly. He has plenty of faults, but lack of honesty was never among them. “Nor our second. The council is","in agreement that we must act, and several members have offered their relatives. Originally, Councilman Essen’s daughter agreed. But she had a change of heart—”",49,completion
"And yet, here I am. With Governor Davenport. Leaning on my elbows over the balcony",that overlooks the courtyard where I just got married. Biting back a sigh before explaining:,30,completion
"Gauging intoxication levels in Humans is always a struggle, but I’m fairly sure the governor",is not not drunk. “You asked who gave me my name. It was the Vampyre council.”,31,completion
"Serena was like that, too, when I first met her. “So crucifixes burn you?” she asked me a couple of weeks","into our cohabitation, after I failed to convince her that the viscous red liquid I kept in my fridge was tomato juice.",43,completion
"“Shit,” I mutter softly, rubbing the bridge of my nose. Was Moreland married before? If that’s the case, I cannot comprehend how pissed he must be","at the prospect of being shackled to me while his wife is far away, first in line to the slaughter. Maybe that’s why he flipped earlier?",52,completion
"Moreland presses his lips together. His jaw clenches and he says something, but his voice","is deeper, lower than his companions’. I cannot make out the words over the background noises.",31,completion
"A short distance away, two children are bawling. They are toddlers, one with dark skin and lilac eyes, the other pale and blue-eyed. A Vampyre and a Were. Between them lies a dark blue superhero action figure, broken in two at the waist. And next to them, clutching their respective sons,","are a Vampyre father and a Were mother. Who, for reasons I cannot divine, thought that bringing children here would be a good idea, and now are showing their fangs at each other. Growling. Drawing the attention of the other guests, who start to gather around them protectively. Or maybe aggressively.",102,completion
"“It’s all good,” Moreland says. Calm. Reassuring. Not to the father, but to","the child. As he holds out the intact action figure—not broken, after all.",26,completion
"“Anything you’d like to say?” Moreland asks, this time to the Were child.",The boy blinks several times before looking at the ground with a pout.,26,completion
"“Make sure it doesn’t happen again. Tell the others, too,” he quietly orders the ginger and the older Were, who nod and leave","to mix with the guests. Moreland sighs, and I wait for a handful of seconds, hoping he’ll join them and clear my way.",46,completion
"“I know you’re there,” he says, not looking at anyone in particular. I","have no idea who he’s addressing until he adds, “Come down, Miss Lark.”",26,completion
