Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
['montag'],harry,0,0.18,incorrect,phoenix,0,0.31,incorrect,harry,0,0.18,incorrect,phoenix,0,0.31,incorrect,setlhare,0,0.29,incorrect,botswana,0,0.43,incorrect,phoenix,0,0.31,incorrect,phoenix,0,0.31,incorrect,salmander,0,0.27,incorrect,phoenix,0,0.31,incorrect,salome,0,0.17,incorrect,andriambelomasina,0,0.35,incorrect,harry,0,0.18,incorrect,harry,0,0.18,incorrect,harry,0,0.18,incorrect,phoenix,0,0.31,incorrect,ngoc,0,0.4,incorrect,ngoc,0,0.4,incorrect,harry,0,0.18,incorrect,elif,0,0.0,incorrect,phoenix,0,0.31,incorrect,phoenix,0,0.31,incorrect,botswana,0,0.43,incorrect,phoenix,0,0.31,incorrect,phoenix,0,0.31,incorrect,andriambelomasina,0,0.35,incorrect,harry,0,0.18,incorrect,phoenix,0,0.31,incorrect,ngoc,0,0.4,incorrect,elif,0,0.0,incorrect
['montag'],lesli,0,0.0,incorrect,lesli,0,0.0,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,john,0,0.4,incorrect,moonstones,0,0.5,incorrect,te,0,0.25,incorrect,ua,0,0.25,incorrect,jet-bomb,0,0.14,incorrect,jet,0,0.22,incorrect,antananarivo,0,0.33,incorrect,madagascar,0,0.38,incorrect,ray bradbury,0,0.11,incorrect,john,0,0.4,incorrect,ayse,0,0.2,incorrect,aytas,0,0.36,incorrect,ngon lua,0,0.43,incorrect,ngon,0,0.4,incorrect,ayse,0,0.2,incorrect,john,0,0.4,incorrect,lesli,0,0.0,incorrect,jesus,0,0.0,incorrect,moonstones,0,0.5,incorrect,ua,0,0.25,incorrect,jet,0,0.22,incorrect,madagascar,0,0.38,incorrect,john,0,0.4,incorrect,aytas,0,0.36,incorrect,ngon,0,0.4,incorrect,john,0,0.4,incorrect
['montag'],john,0,0.4,incorrect,jesus,0,0.0,incorrect,adewale,0,0.15,incorrect,imolara,0,0.46,incorrect,jesus,0,0.0,incorrect,matlho,0,0.33,incorrect,teie,0,0.2,incorrect,maui,0,0.4,incorrect,john,0,0.4,incorrect,shiv,0,0.0,incorrect,john,0,0.4,incorrect,andriamahery,0,0.22,incorrect,john,0,0.4,incorrect,emily,0,0.18,incorrect,adam,0,0.2,incorrect,ali,0,0.22,incorrect,nguyen,0,0.33,incorrect,nguyen,0,0.33,incorrect,ali,0,0.22,incorrect,woman,0,0.36,incorrect,jesus,0,0.0,incorrect,imolara,0,0.46,incorrect,matlho,0,0.33,incorrect,maui,0,0.4,incorrect,shiv,0,0.0,incorrect,andriamahery,0,0.22,incorrect,emily,0,0.18,incorrect,ali,0,0.22,incorrect,nguyen,0,0.33,incorrect,woman,0,0.36,incorrect
['montag'],sheba,0,0.18,incorrect,john,0,0.4,incorrect,adunni,0,0.17,incorrect,john,0,0.4,incorrect,john,0,0.4,incorrect,botswana,0,0.43,incorrect,teina,0,0.36,incorrect,ua,0,0.25,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,andry,0,0.18,incorrect,jesus,0,0.0,incorrect,harry,0,0.18,incorrect,john,0,0.4,incorrect,halil,0,0.18,incorrect,ozdemir,0,0.15,incorrect,nguyen,0,0.33,incorrect,nguyen,0,0.33,incorrect,halil,0,0.18,incorrect,john,0,0.4,incorrect,john,0,0.4,incorrect,john,0,0.4,incorrect,botswana,0,0.43,incorrect,ua,0,0.25,incorrect,adam,0,0.2,incorrect,jesus,0,0.0,incorrect,john,0,0.4,incorrect,ozdemir,0,0.15,incorrect,nguyen,0,0.33,incorrect,john,0,0.4,incorrect
['mildred'],jesus,0,0.17,incorrect,jesus,0,0.17,incorrect,adunni,0,0.15,incorrect,oruko,0,0.17,incorrect,jesus,0,0.17,incorrect,botswana,0,0.0,incorrect,te,0,0.22,incorrect,ua pou,0,0.0,incorrect,god,0,0.2,incorrect,adam,0,0.18,incorrect,ray bradbury,0,0.21,incorrect,nitsambikina,0,0.21,incorrect,montag,0,0.15,incorrect,montag,0,0.15,incorrect,montag,0,0.15,incorrect,john,0,0.0,incorrect,montag,0,0.15,incorrect,nguyen,0,0.15,incorrect,montag,0,0.15,incorrect,adam,0,0.18,incorrect,jesus,0,0.17,incorrect,oruko,0,0.17,incorrect,botswana,0,0.0,incorrect,ua pou,0,0.0,incorrect,adam,0,0.18,incorrect,nitsambikina,0,0.21,incorrect,montag,0,0.15,incorrect,john,0,0.0,incorrect,nguyen,0,0.15,incorrect,adam,0,0.18,incorrect
"['faber—', 'faber']",jesu,0,0.22,incorrect,lesotho,0,0.17,incorrect,oloyede,0,0.17,incorrect,oloyede,0,0.17,incorrect,jesus,0,0.2,incorrect,botswana,0,0.15,incorrect,jesus,0,0.2,incorrect,te,0,0.29,incorrect,firehouse,0,0.29,incorrect,firehouse,0,0.29,incorrect,rabearivelo,0,0.5,incorrect,toy,0,0.0,incorrect,montag,0,0.18,incorrect,firehouse,0,0.29,incorrect,ali,0,0.25,incorrect,ataturk,0,0.33,incorrect,nguyen,0,0.18,incorrect,nguyen,0,0.18,incorrect,john,0,0.0,incorrect,istanbul,0,0.31,incorrect,lesotho,0,0.17,incorrect,oloyede,0,0.17,incorrect,botswana,0,0.15,incorrect,te,0,0.29,incorrect,firehouse,0,0.29,incorrect,toy,0,0.0,incorrect,firehouse,0,0.29,incorrect,ataturk,0,0.33,incorrect,nguyen,0,0.18,incorrect,istanbul,0,0.31,incorrect
['montag'],jan,0,0.22,incorrect,mapolesa,0,0.43,incorrect,janitorial,0,0.38,incorrect,yara,0,0.2,incorrect,go go,0,0.36,incorrect,le,0,0.0,incorrect,te tama noa ra oe,0,0.26,incorrect,maui,0,0.4,incorrect,agatha christie,0,0.19,incorrect,vivek,0,0.0,incorrect,janitorialy,0,0.35,incorrect,manahirana,0,0.38,incorrect,montag,1,1.0,correct,janitorial,0,0.38,incorrect,heinrich,0,0.14,incorrect,polis,0,0.18,incorrect,harry,0,0.18,incorrect,nguyen,0,0.33,incorrect,heinrich,0,0.14,incorrect,john,0,0.4,incorrect,mapolesa,0,0.43,incorrect,yara,0,0.2,incorrect,le,0,0.0,incorrect,maui,0,0.4,incorrect,vivek,0,0.0,incorrect,manahirana,0,0.38,incorrect,janitorial,0,0.38,incorrect,polis,0,0.18,incorrect,nguyen,0,0.33,incorrect,john,0,0.4,incorrect
['montag'],empa,0,0.4,incorrect,mosali,0,0.5,incorrect,esu,0,0.0,incorrect,cricket,0,0.15,incorrect,jesus,0,0.0,incorrect,anyone,0,0.33,incorrect,teie,0,0.2,incorrect,te,0,0.25,incorrect,shah rukh khan,0,0.1,incorrect,shiv,0,0.0,incorrect,shakespeare,0,0.12,incorrect,cricket,0,0.15,incorrect,montague,0,0.86,correct,emily,0,0.18,incorrect,bayan,0,0.18,incorrect,emily,0,0.18,incorrect,nguyen,0,0.33,incorrect,nguyen,0,0.33,incorrect,woman,0,0.36,incorrect,woman,0,0.36,incorrect,mosali,0,0.5,incorrect,cricket,0,0.15,incorrect,anyone,0,0.33,incorrect,te,0,0.25,incorrect,shiv,0,0.0,incorrect,cricket,0,0.15,incorrect,emily,0,0.18,incorrect,emily,0,0.18,incorrect,nguyen,0,0.33,incorrect,woman,0,0.36,incorrect
['montag'],lee min ho,0,0.25,incorrect,joale,0,0.36,incorrect,innocent,0,0.43,incorrect,owo,0,0.22,incorrect,jehovah,0,0.31,incorrect,jesus,0,0.0,incorrect,te,0,0.25,incorrect,te,0,0.25,incorrect,chor,0,0.2,incorrect,maithili,0,0.29,incorrect,god,0,0.22,incorrect,andriamanitra,0,0.42,incorrect,montag,1,1.0,correct,harry,0,0.18,incorrect,ali,0,0.22,incorrect,harry potter,0,0.22,incorrect,nguyen tuan,0,0.35,incorrect,nguyen,0,0.33,incorrect,ali,0,0.22,incorrect,ali,0,0.22,incorrect,joale,0,0.36,incorrect,owo,0,0.22,incorrect,jesus,0,0.0,incorrect,te,0,0.25,incorrect,maithili,0,0.29,incorrect,andriamanitra,0,0.42,incorrect,harry,0,0.18,incorrect,harry potter,0,0.22,incorrect,nguyen,0,0.33,incorrect,ali,0,0.22,incorrect
['montag'],jesus,0,0.0,incorrect,genesis,0,0.15,incorrect,god,0,0.22,incorrect,babel,0,0.18,incorrect,babele,0,0.17,incorrect,jesus,0,0.0,incorrect,god,0,0.22,incorrect,babela,0,0.17,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,henry miller,0,0.11,incorrect,god,0,0.22,incorrect,john,0,0.4,incorrect,babil,0,0.18,incorrect,thap babel,0,0.25,incorrect,nguyen,0,0.33,incorrect,enkidu,0,0.17,incorrect,babel,0,0.18,incorrect,genesis,0,0.15,incorrect,babel,0,0.18,incorrect,jesus,0,0.0,incorrect,babela,0,0.17,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,babil,0,0.18,incorrect,nguyen,0,0.33,incorrect,babel,0,0.18,incorrect
