Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct
"['mauricio lorry', 'mauricio', 'mr jarvis lorry', 'mr', 'jarvis', 'lorr', 'jarvis lorry', 'jarvis lorr', 'lorry']",lucie,0,0.46,incorrect,wemmick,0,0.4,incorrect,lucie manette,0,0.3,incorrect,mr.,0,0.8,correct,jarndyce,0,0.43,incorrect,wemmick,0,0.4,incorrect,marlow,0,0.57,incorrect,london,0,0.4,incorrect,telegraph,0,0.31,incorrect,jack,0,0.4,incorrect,mr. tulkinghorn,0,0.41,incorrect,london,0,0.4,incorrect,wemmick,0,0.4,incorrect,mr.,0,0.8,correct,wemmick,0,0.4,incorrect,london,0,0.4,incorrect,jack,0,0.4,incorrect,london,0,0.4,incorrect
"['mr', 'mr lorry', 'lorry']",matilda,0,0.27,incorrect,beatrix,0,0.22,incorrect,caliban,0,0.17,incorrect,woolf,0,0.2,incorrect,lewatle,0,0.17,incorrect,lebopo,0,0.36,incorrect,dover,0,0.4,incorrect,noa,0,0.25,incorrect,david copperfield,0,0.24,incorrect,dovery,0,0.55,incorrect,marina,0,0.5,incorrect,canterbury,0,0.4,incorrect,beatrix,0,0.22,incorrect,woolf,0,0.2,incorrect,lebopo,0,0.36,incorrect,noa,0,0.25,incorrect,dovery,0,0.55,incorrect,canterbury,0,0.4,incorrect
"['manette', 'miss', 'miss manette']",hamlet,0,0.46,incorrect,abraham,0,0.18,incorrect,oduduwa,0,0.14,incorrect,abraham,0,0.18,incorrect,jesus,0,0.44,incorrect,god,0,0.0,incorrect,jesus,0,0.44,incorrect,joseph,0,0.22,incorrect,mr.,0,0.29,incorrect,machine,0,0.57,incorrect,david,0,0.22,incorrect,manana,0,0.46,incorrect,abraham,0,0.18,incorrect,abraham,0,0.18,incorrect,god,0,0.0,incorrect,joseph,0,0.22,incorrect,machine,0,0.57,incorrect,manana,0,0.46,incorrect
"['mr', 'mr lorry', 'lorry']",scrooge,0,0.27,incorrect,god,0,0.25,incorrect,odysseus,0,0.31,incorrect,wo,0,0.29,incorrect,mothers,0,0.44,incorrect,joseph,0,0.18,incorrect,david,0,0.0,incorrect,ua,0,0.0,incorrect,robinson,0,0.25,incorrect,ulysses,0,0.33,incorrect,david,0,0.0,incorrect,jereo,0,0.31,incorrect,god,0,0.25,incorrect,wo,0,0.29,incorrect,joseph,0,0.18,incorrect,ua,0,0.0,incorrect,ulysses,0,0.33,incorrect,jereo,0,0.31,incorrect
"['mr', 'mr lorry', 'lorry']",jesus,0,0.0,incorrect,na,0,0.0,incorrect,john,0,0.22,incorrect,sam,0,0.4,incorrect,banker,0,0.25,incorrect,banker,0,0.25,incorrect,jesus,0,0.0,incorrect,david,0,0.0,incorrect,peter,0,0.29,incorrect,jack,0,0.0,incorrect,bank,0,0.0,incorrect,banky,0,0.2,incorrect,na,0,0.0,incorrect,sam,0,0.4,incorrect,banker,0,0.25,incorrect,david,0,0.0,incorrect,jack,0,0.0,incorrect,banky,0,0.2,incorrect
"['madame', 'madame defarge', 'señora defarge', 'defarge', 'señora', 'madam defarge', 'madam']",esther,0,0.5,incorrect,joseph,0,0.33,incorrect,esther,0,0.5,incorrect,god,0,0.25,incorrect,esther,0,0.5,incorrect,joseph,0,0.33,incorrect,josephine,0,0.4,incorrect,john,0,0.2,incorrect,estella,0,0.46,incorrect,madame,1,1.0,correct,elizabeth,0,0.38,incorrect,teo,0,0.44,incorrect,joseph,0,0.33,incorrect,god,0,0.25,incorrect,joseph,0,0.33,incorrect,john,0,0.2,incorrect,madame,1,1.0,correct,teo,0,0.44,incorrect
"['madame', 'madame defarge', 'señora defarge', 'defarge', 'señora', 'madam defarge', 'madam']",christmas,0,0.29,incorrect,jesus,0,0.18,incorrect,jesus,0,0.18,incorrect,jesus,0,0.18,incorrect,david,0,0.4,incorrect,moses,0,0.36,incorrect,christ,0,0.17,incorrect,christ,0,0.17,incorrect,christ,0,0.17,incorrect,pyotr,0,0.36,incorrect,joseph,0,0.33,incorrect,joseph,0,0.33,incorrect,jesus,0,0.18,incorrect,jesus,0,0.18,incorrect,moses,0,0.36,incorrect,christ,0,0.17,incorrect,pyotr,0,0.36,incorrect,joseph,0,0.33,incorrect
"['monsieur defarge', 'monsieur', 'defarge', 'mösyö defarge', 'mösyö']",joseph,0,0.43,incorrect,joseph,0,0.43,incorrect,abraham,0,0.29,incorrect,joseph,0,0.43,incorrect,joseph,0,0.43,incorrect,moses,0,0.62,incorrect,david,0,0.33,incorrect,ua,0,0.22,incorrect,widow,0,0.2,incorrect,widow,0,0.2,incorrect,joseph,0,0.43,incorrect,joseph,0,0.43,incorrect,joseph,0,0.43,incorrect,joseph,0,0.43,incorrect,moses,0,0.62,incorrect,ua,0,0.22,incorrect,widow,0,0.2,incorrect,joseph,0,0.43,incorrect
['defarge'],long,0,0.18,incorrect,long,0,0.18,incorrect,marley,0,0.46,incorrect,lucifer,0,0.29,incorrect,long,0,0.18,incorrect,winston,0,0.0,incorrect,diabolo,0,0.29,incorrect,diabolo,0,0.29,incorrect,shaitan,0,0.14,incorrect,god,0,0.2,incorrect,god,0,0.2,incorrect,god,0,0.2,incorrect,long,0,0.18,incorrect,lucifer,0,0.29,incorrect,winston,0,0.0,incorrect,diabolo,0,0.29,incorrect,god,0,0.2,incorrect,god,0,0.2,incorrect
"['mr', 'mr lorry', 'lorry']",abraham lincoln,0,0.35,incorrect,empa,0,0.33,incorrect,god,0,0.25,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,christ,0,0.25,incorrect,david,0,0.0,incorrect,elizabeth,0,0.14,incorrect,terror,0,0.43,incorrect,david,0,0.0,incorrect,david,0,0.0,incorrect,empa,0,0.33,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,david,0,0.0,incorrect,terror,0,0.43,incorrect,david,0,0.0,incorrect
